OBJECTID,Folder,Image,Object,Confidence,frame_idx,Latitude,Longitude,Photo_Link,Field9,Field10,Field11,Field12,Z
590,,image14.jpg,Clear,0,14,31.09844667,29.97932833,C:\Road_Project\inference_data\nan\image14.jpg,,,,,95.6
591,,image15.jpg,Crack,0.362432212,15,31.09842167,29.97939333,C:\Road_Project\inference_data\nan\image15.jpg,,,,,95.2
592,,image16.jpg,Crack,0.596111536,16,31.09839667,29.97945667,C:\Road_Project\inference_data\nan\image16.jpg,,,,,95
593,,image17.jpg,Clear,0,17,31.09837167,29.97951833,C:\Road_Project\inference_data\nan\image17.jpg,,,,,94.8
594,,image18.jpg,Clear,0,18,31.098355,29.97957667,C:\Road_Project\inference_data\nan\image18.jpg,,,,,94.6
595,,image19.jpg,Clear,0,19,31.09834833,29.979635,C:\Road_Project\inference_data\nan\image19.jpg,,,,,94.1
596,,image20.jpg,Lamp_Post,0.232911587,20,31.09832167,29.97968167,C:\Road_Project\inference_data\nan\image20.jpg,,,,,93.8
597,,image21.jpg,Clear,0,21,31.09829833,29.97972333,C:\Road_Project\inference_data\nan\image21.jpg,,,,,93.3
598,,image22.jpg,Clear,0,22,31.098285,29.97975,C:\Road_Project\inference_data\nan\image22.jpg,,,,,92.6
599,,image23.jpg,Lamp_Post,0.601121664,23,31.09827167,29.97976833,C:\Road_Project\inference_data\nan\image23.jpg,,,,,91.9
600,,image23.jpg,Lamp_Post,0.223643303,23,31.09826,29.979785,C:\Road_Project\inference_data\nan\image23.jpg,,,,,91.6
601,,image24.jpg,Lamp_Post,0.44941318,24,31.09826167,29.9798,C:\Road_Project\inference_data\nan\image24.jpg,,,,,91.3
602,,image24.jpg,Lamp_Post,0.401938826,24,31.09825333,29.97981,C:\Road_Project\inference_data\nan\image24.jpg,,,,,91.3
603,,image24.jpg,speed bump,0.344956249,24,31.09825,29.97982167,C:\Road_Project\inference_data\nan\image24.jpg,,,,,91
604,,image24.jpg,speed bump,0.341740608,24,31.09825,29.97984,C:\Road_Project\inference_data\nan\image24.jpg,,,,,90.5
605,,image24.jpg,speed bump,0.321285725,24,31.09825167,29.97986167,C:\Road_Project\inference_data\nan\image24.jpg,,,,,89.7
606,,image24.jpg,Lamp_Post,0.314620316,24,31.09824833,29.979885,C:\Road_Project\inference_data\nan\image24.jpg,,,,,89.3
607,,image24.jpg,Lamp_Post,0.282374918,24,31.09824333,29.979905,C:\Road_Project\inference_data\nan\image24.jpg,,,,,88.6
608,,image25.jpg,Crack,0.326901883,25,31.09824,29.97992333,C:\Road_Project\inference_data\nan\image25.jpg,,,,,88.3
609,,image26.jpg,Lamp_Post,0.211605772,26,31.09824,29.97993667,C:\Road_Project\inference_data\nan\image26.jpg,,,,,88
610,,image27.jpg,Clear,0,27,31.09823833,29.979945,C:\Road_Project\inference_data\nan\image27.jpg,,,,,88
611,,image28.jpg,Clear,0,28,31.09823667,29.97994667,C:\Road_Project\inference_data\nan\image28.jpg,,,,,88.9
612,,image29.jpg,Lamp_Post,0.462362915,29,31.09818,29.98001833,C:\Road_Project\inference_data\nan\image29.jpg,,,,,89.1
613,,image30.jpg,Clear,0,30,31.09817167,29.98003333,C:\Road_Project\inference_data\nan\image30.jpg,,,,,89.1
614,,image31.jpg,Crack,0.762069404,31,31.09816667,29.98004833,C:\Road_Project\inference_data\nan\image31.jpg,,,,,89.1
615,,image31.jpg,Crack,0.412011147,31,31.09816667,29.98006333,C:\Road_Project\inference_data\nan\image31.jpg,,,,,89.1
616,,image31.jpg,Crack,0.267375946,31,31.09816167,29.98008333,C:\Road_Project\inference_data\nan\image31.jpg,,,,,89.1
617,,image32.jpg,Clear,0,32,31.09815833,29.98010333,C:\Road_Project\inference_data\nan\image32.jpg,,,,,89.1
